wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
1,3,12,39,6,55.71129,37.64372999,20400000
2,6,20,88.1,7.5,55.74429988,37.50724564,45800000
3,2,10,48.5,7.4,55.75472,37.49196,17600000
1,6,9,54,13.5,55.60171,37.16399,9100000
2,8,9,58,6,55.58913624,37.64554422,12800000
2,6,13,40,12,55.87275408,37.59988761,12700000
4,17,25,85.9,24.7,55.82357,37.44621,37889230
5,4,5,44,10,55.79072479,37.78333093,13999000
1,16,26,109.2,,55.82357,37.44621,50500000
,7,14,78,,55.80164229,37.59636213,29900000
1,5,5,74,25,55.76290001,37.56943003,49999999
1,6,14,51.7,8.5,55.53749109,37.57525178,11590000
1,2,9,30,9,55.57524,37.44965,6950000
2,12,17,53.5,9.5,55.67367,37.76515996,17500000
3,5,17,66,16,55.56975,37.49129001,15800000
1,8,11,39.7,,55.6890801,37.47359485,21702082
1,13,16,76,,55.65924382,37.60143395,32800000
1,11,18,118,27.4,55.88596002,37.67841003,41000000
,14,23,42.2,14.7,55.75384,37.7113,19000000
1,6,33,36.3,18.2,55.841679,37.49450138,15500000
2,7,9,32.5,6.8,55.61920214,37.712189,11000000
1,9,14,20,5,55.81115002,37.51466997,7700000
3,3,5,30,5.8,55.83711768,37.44420018,10000000
2,11,12,52,9,55.77726002,37.82859999,10200000
1,16,28,35.4,13,55.85762,37.60677996,13522800
1,18,22,32,9.4,55.57524,37.44965,10600000
1,14,14,37,10,55.61506662,37.71487031,13800000
,6,9,41,6.5,55.74160998,37.57761001,23500000
3,3,14,100.7,15,55.66884999,37.55864998,38950000
1,7,44,45,14.9,55.77438,37.47205,18800000
2,4,25,74.9,10,55.65486001,37.40932998,18500000
4,24,24,34.1,10.2,55.7503,37.46887,11993106
1,5,25,63,18,55.88289002,37.68285001,26500000
,9,9,36.5,,55.66580409,37.74975985,9215000
1,23,23,165.6,41.7,55.54899201,37.52517812,45017862
1,3,23,42.7,2,55.85305375,37.60621196,11136628
3,10,10,51.3,8.5,55.80899,37.49708004,17000000
1,4,27,76.4,13.6,55.78494002,37.46276,26990000
1,5,28,135,18,55.69967978,37.49347854,67000000
2,9,12,40.7,6,55.81831998,37.62658003,12500000
3,5,5,32.5,5.1,55.80994998,37.56533002,11300000
