wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
monolith,3,12,39,6,55.71129,37.64372999,20400000
panel,6,20,88.1,7.5,55.74429988,37.50724564,45800000
brick,2,10,48.5,7.4,55.75472,37.49196,17600000
monolith,6,9,54,13.5,55.60171,37.16399,9100000
panel,8,9,58,6,55.58913624,37.64554422,12800000
panel,6,13,40,12,55.87275408,37.59988761,12700000
monolithBrick,17,25,85.9,24.7,55.82357,37.44621,37889230
block,4,5,44,10,55.79072479,37.78333093,13999000
monolith,5,5,74,25,55.76290001,37.56943003,49999999
monolith,6,14,51.7,8.5,55.53749109,37.57525178,11590000
monolith,2,9,30,9,55.57524,37.44965,6950000
panel,12,17,53.5,9.5,55.67367,37.76515996,17500000
brick,5,17,66,16,55.56975,37.49129001,15800000
monolith,11,18,118,27.4,55.88596002,37.67841003,41000000
monolith,6,33,36.3,18.2,55.841679,37.49450138,15500000
panel,7,9,32.5,6.8,55.61920214,37.712189,11000000
monolith,9,14,20,5,55.81115002,37.51466997,7700000
brick,3,5,30,5.8,55.83711768,37.44420018,10000000
panel,11,12,52,9,55.77726002,37.82859999,10200000
monolith,16,28,35.4,13,55.85762,37.60677996,13522800
monolith,18,22,32,9.4,55.57524,37.44965,10600000
monolith,14,14,37,10,55.61506662,37.71487031,13800000
brick,3,14,100.7,15,55.66884999,37.55864998,38950000
monolith,7,44,45,14.9,55.77438,37.47205,18800000
panel,4,25,74.9,10,55.65486001,37.40932998,18500000
monolithBrick,24,24,34.1,10.2,55.7503,37.46887,11993106
monolith,5,25,63,18,55.88289002,37.68285001,26500000
monolith,23,23,165.6,41.7,55.54899201,37.52517812,45017862
monolith,3,23,42.7,2,55.85305375,37.60621196,11136628
brick,10,10,51.3,8.5,55.80899,37.49708004,17000000
monolith,4,27,76.4,13.6,55.78494002,37.46276,26990000
monolith,5,28,135,18,55.69967978,37.49347854,67000000
panel,9,12,40.7,6,55.81831998,37.62658003,12500000
brick,5,5,32.5,5.1,55.80994998,37.56533002,11300000
monolith,2,25,97.48,13.5,55.71848271,37.42892825,29599999
panel,7,9,43,12,55.53163999,37.44677999,9000000
monolith,4,9,38.26,6.3,55.57524,37.44965,8506148
monolith,19,56,47.5,17.4,55.70833733,37.49075309,18500000
block,1,12,38.5,7,55.80963998,37.57246001,11100000
panel,13,18,59.2,22.3,55.57166,37.47511501,13500000
panel,2,18,38.3,10,55.70561,37.40017996,10200000
panel,6,10,62.8,21,55.57166,37.47511501,14500000
monolith,11,23,88.4,21.3,55.72417998,37.73281998,48500000
monolith,18,33,32.8,9.5,55.68432,37.44654,12980000
monolith,30,41,49,10,55.73196082,37.53921435,25700000
panel,13,17,36.8,10,55.64622987,37.65661668,10590000
brick,2,5,42.8,6,55.80871001,37.53162002,12500000
block,14,14,49,6,55.82388359,37.51728484,14250000
panel,8,9,59,6,55.71904397,37.82148234,14000000
monolith,10,15,48.5,10.6,55.75696,37.61502,11972662
monolith,10,12,41.2,10.2,55.81108448,37.77433773,14036840
panel,4,5,31.7,6,55.89763001,37.54000997,9300000
monolith,10,31,46,11,55.75599362,37.50587366,23400000
monolith,16,23,34.4,16.1,55.57524,37.44965,9212676
monolith,9,9,36.1,11.5,55.59911,37.35495,7679192
brick,5,5,42.7,6.1,55.671595,37.74068497,11200000
brick,4,5,78.9,9.2,55.68633222,37.55514712,27500000
brick,4,6,92,9.5,55.77213069,37.66010164,30500000
monolith,15,17,134.3,34.9,55.76305998,37.55999997,175059786
panel,12,17,60.3,10,55.66471514,37.75341571,15300000
monolith,3,26,67.21,26.4,55.74943,37.62371,62209576
monolith,23,26,33.6,12.4,55.61667,37.6,15785029
brick,4,7,102,10,55.7747689,37.59851506,58500000
panel,6,12,53,12,55.71442998,37.89418,14000000
brick,2,6,53,14,55.72529217,37.62587347,22500000
monolith,14,20,47,22,55.80565825,37.58808958,17999000
panel,12,12,62.7,8.5,55.89634,37.60910996,15750000
panel,1,17,38,8.3,55.62024832,37.69740509,11900000
brick,2,9,59.1,8,55.77777001,37.61162001,26500000
block,6,12,32.7,10,55.7589944,37.52258375,13600000
monolith,2,6,60,12,55.65143001,37.72318004,10000000
panel,1,16,34.5,9.6,55.65156476,37.58962511,10590000
brick,5,5,31,5.3,55.82357,37.44621,9430000
block,10,12,35,10,55.63157605,37.64838538,10700000
panel,12,17,72.8,10,55.72062999,37.41782001,21500000
brick,6,7,95,16,55.75171001,37.58260001,47000000
monolith,40,51,30.04,9.6,55.7589944,37.52258375,19015280
brick,5,5,67,12,55.77651444,37.63049178,32000000
monolith,9,12,38.8,6.5,55.69224557,37.60764783,11900000
panel,9,9,44.2,6,55.84671758,37.43318959,11700000
block,8,9,44.1,5,55.71145499,37.77816499,12390000
panel,2,16,38.5,9,55.81469503,37.40775245,12300000
monolith,19,26,122,16,55.79110001,37.51997999,58000000
monolith,8,9,38.3,6.4,55.60608168,37.73386915,9000000
monolithBrick,4,25,120,15,55.80993219,37.52470904,56000000
brick,2,5,71.4,8,55.77429734,37.73246334,24000000
brick,11,14,62,12.1,55.50521998,37.55645996,11990000
monolith,8,16,43.5,11.7,55.54784034,37.49439915,11000000
brick,15,17,60,10.1,55.50652999,37.57216002,12000000
monolith,6,18,37.1,10.8,55.57524,37.44965,9502319
monolith,2,3,43.9,14,55.87075,37.68869001,10750000
panel,13,22,19.8,4,55.65125998,37.48284003,8010000
monolith,4,18,38.3,15.1,55.57524,37.44965,9153815
panel,2,5,32,6,55.66042999,37.57644996,11500000
panel,1,9,44.4,6,55.6328359,37.59497382,11400000
panel,3,9,68.3,6,55.61234,37.53002,17500000
brick,4,6,92,7,55.77213069,37.66010164,29900000
panel,10,25,74.9,13,55.65486001,37.40932998,19199000
brick,1,9,83,9,55.80677999,37.63755998,31780000
panel,1,14,76.8,8,55.64306001,37.34534002,13900000
